product_id,reviewer_name,review_text,rating
B001E4KFG0,Alice,Excellent product, works like a charm!,5
B003L1ZYYM,Bob,Not what I expected.,2
B00004T8R2,Charlie,Decent for the price.,3
B0002L5R78,Dave,Terrible quality, broke in a week.,1
B002QYW8LW,Emma,Loved it! Will buy again.,5
B0036VO4X4,Frank,Works okay but delivery was late.,3
B001F51G16,Grace,High quality and fast delivery.,4
B0046UR4F4,Henry,Mediocre performance.,2
B005FYNSUA,Isabella,It's okay. Not the best.,3
B002QYW8LW,John,Amazing! Highly recommended.,5
